customer_id,total_orders,total_amount,repeat_purchaser
1064.0,1,1225,0
1065.0,1,1000,0
1066.0,1,2390,0
1067.0,1,1000,0
1068.0,1,1000,0
1069.0,18,65220,1
1070.0,1,200,0
1071.0,150,248757,1
1072.0,1,2000,0
1073.0,1,2700,0
1074.0,1,1200,0
1076.0,3,6070,1
1078.0,2,1200,1
1081.0,8,13340,1
1082.0,220,618365,1
1086.0,11,8680,1
1087.0,1,1688,0
1088.0,38,110620,1
1090.0,9,11637,1
1091.0,1,1365,0
1092.0,1,1175,0
1095.0,32,20025,1
1096.0,5,3400,1
1097.0,4,6238,1
1098.0,1,825,0
1100.0,1,1365,0
1101.0,1,525,0
1102.0,1,1365,0
1103.0,1,3425,0
1105.0,1,825,0
1106.0,1,525,0
1107.0,1,525,0
1108.0,1,5025,0
1109.0,1,20825,0
1110.0,1,5165,0
1111.0,1,1525,0
1112.0,769,4089825,1
1113.0,1,4927,0
1116.0,1,825,0
1117.0,1,4310,0
1119.0,2,2460,1
1120.0,1,5498,0
1124.0,2,2703,1
1126.0,1,525,0
1127.0,1,525,0
1129.0,4,2100,1
1131.0,1,625,0
1132.0,8,60370,1
1133.0,1,625,0
1134.0,1,1175,0
1135.0,1,3455,0
1136.0,1,525,0
1137.0,1,2505,0
1138.0,1,825,0
1139.0,1,825,0
1140.0,1,825,0
1141.0,1,525,0
1142.0,1,1365,0
1143.0,1,1365,0
1144.0,1,825,0
1145.0,1,1125,0
1146.0,1,525,0
1147.0,1,1175,0
1148.0,1,825,0
1149.0,1,5525,0
1150.0,1,6025,0
1151.0,1,1000,0
1152.0,1,1175,0
1153.0,1,825,0
1154.0,1,1525,0
1155.0,1,525,0
1156.0,1,6425,0
1157.0,1,5025,0
1158.0,1,5025,0
1162.0,1,1802,0
1163.0,1,1650,0
1164.0,1,5825,0
1165.0,1,7525,0
1167.0,1,7525,0
1169.0,6,35483,1
1170.0,1,825,0
1171.0,1,600,0
1172.0,1,400,0
1173.0,1,400,0
1174.0,1,525,0
1175.0,1,1525,0
1176.0,1,5505,0
1177.0,1,5505,0
1178.0,1,525,0
1179.0,1,1650,0
1180.0,1,8025,0
1181.0,1,5025,0
1182.0,1,525,0
1183.0,1,2828,0
1184.0,1,1525,0
1187.0,1,3645,0
1188.0,1,1525,0
1189.0,2,2050,1
1190.0,1,525,0
1191.0,1,525,0
1192.0,1,5525,0
1193.0,1,5525,0
1194.0,1,6925,0
1195.0,1,6925,0
1200.0,1,2268,0
1201.0,2,9050,1
1203.0,1,5925,0
1207.0,1,1525,0
1208.0,1,525,0
1213.0,8,12688,1
1214.0,1,525,0
1215.0,1,2268,0
1216.0,1,425,0
1218.0,2,1050,1
1242.0,2,3050,1
1243.0,1,1175,0
1251.0,43,41696,1
1252.0,1,1175,0
1253.0,1,1175,0
1264.0,20,78600,1
1265.0,1,3930,0
1266.0,1,3930,0
1267.0,1,3930,0
1268.0,1,3930,0
1269.0,1,3930,0
1270.0,1,3930,0
1271.0,2,2350,1
100002.0,9,32600,1
100003.0,5,7600,1
100004.0,6,8400,1
100005.0,5,10800,1
100009.0,7,5600,1
100010.0,3,8700,1
100012.0,1,800,0
39.553483957562776,328,880825,1
791.2404299408611,35,71063,1
241.96462704334382,12,14461,1
131.68728113388164,7,26750,1
792.4415769241375,23,31240,1
36.57744746119951,110,385960,1
1014.6386552509849,2,9331,1
94.80102943100829,687,2418546,1
996.7132578997604,2,1503,1
367.0739678479787,205,446358,1
489.01070887635643,2,1573,1
164.185598256792,2,5190,1
83.28939682435319,2,4993,1
651.5419725715628,3,2396,1
142.11545712552225,18,182077,1
100005.73146398843,5,9849,1
1007.0524893982362,152,248804,1
100004.36172940616,5,9268,1
280.3145657227138,3,3249,1
882.610789274094,4,6085,1
1003.5146168105769,2,1499,1
206.96102369393975,13,27066,1
551.8576780695504,5,24547,1
101.16984179134357,2,5949,1
209.94814377769376,82,229716,1
128.733336472257,9,103606,1
624.8467189583719,5,4997,1
427.6279904899813,15,15414,1
26.240408474912815,108,382562,1
312.6484708780831,8,25546,1
149.7723398802442,3,20034,1
855.7357840885292,3,4331,1
67.36384223317495,2,789,1
1013.6714057737576,2,1426,1
1001.2276519082031,2,2358,1
264.24933769288293,4,6542,1
644.266401448577,23,18871,1
975.142095028446,3,3724,1
187.164523472375,2,10639,1
62.43075072928116,12,31351,1
960.1734187774905,154,248839,1
1056.1357035118353,2,1334,1
100002.12243632233,8,32234,1
98.00926772715347,108,390109,1
83.91472951894875,10,17766,1
179.8378972987942,7,14193,1
314.4098038593082,8,25540,1
737.9041849270603,9,35436,1
137.637938403735,430,532565,1
546.334907167095,19,34477,1
256.7743178837353,7,10159,1
880.2048757263485,10,11483,1
227.57191385896112,11,17762,1
209.14044443293488,2,3282,1
109.25528841697214,2,6013,1
622.9947391393572,26,12961,1
330.8002178104939,3,3895,1
764.7665710093769,56,135370,1
751.5639930728703,22,33484,1
388.0899454782143,286,566586,1
63.07925123635438,449,1097846,1
227.8065855476823,32,69764,1
806.7928940581673,25,19467,1
493.24154539110947,6,24884,1
78.17018948040351,10,26927,1
552.9079039800976,5,24698,1
1186.2650671133324,3,3183,1
58.42187966845678,7,27393,1
1083.8996652348771,3,2151,1
434.7784907911541,59,108612,1
696.7089130027003,11,11348,1
276.70917566194316,23,105265,1
113.79818698700463,2,14130,1
170.7575654709286,933,3204306,1
250.78671076075818,12,14492,1
685.6262169187813,6,5034,1
239.12014544904514,38,50924,1
189.6895040656789,9,26035,1
184.59025397404002,2,4894,1
539.7032220608099,3,2417,1
164.1700392485945,7,14513,1
620.0170425581684,17,81525,1
121.62959432500084,3,6900,1
875.1566307733987,2,2381,1
1046.5089787861805,2,1440,1
